RANK,TOTAL_ORDERS,CUSTOMER_ID
1,3710,0
2,248,14911
3,224,12748
4,169,17841
5,128,14606
6,118,13089
6,118,15311
8,89,12971
9,86,14527
10,81,13408
11,77,14646
12,76,16029
13,75,16422
14,66,14156
15,63,13798
16,62,18102
17,60,13694
18,55,15061
18,55,17450
20,54,16013
21,53,15189
22,52,13767
22,52,15039
22,52,17949
25,51,17811
26,50,12921
27,49,12471
28,46,16133
28,46,17511
30,45,14298
31,43,13078
31,43,13534
31,43,17315
31,43,17389
31,43,17677
36,41,13098
36,41,13468
36,41,13777
36,41,17675
40,40,13113
41,39,13199
41,39,16839
41,39,17961
44,38,15078
45,36,12901
45,36,13319
47,35,12569
47,35,13263
47,35,15005
47,35,15498
47,35,17850
52,34,14096
52,34,14735
52,34,15159
55,33,13599
55,33,17428
57,32,14194
58,31,12682
58,31,14180
58,31,15856
58,31,16684
58,31,17581
58,31,17757
58,31,18109
58,31,18118
66,30,12474
66,30,17243
66,30,17381
69,29,12720
69,29,13018
69,29,13668
69,29,13854
69,29,14056
69,29,15358
69,29,15769
69,29,16525
69,29,16705
78,28,13050
78,28,14849
78,28,16168
78,28,16523
78,28,16779
83,27,12681
83,27,13069
83,27,13102
83,27,13267
83,27,14667
83,27,14688
83,27,14796
83,27,15615
83,27,16033
83,27,17017
83,27,17865
83,27,18223
95,26,12415
95,26,12709
95,26,12841
95,26,14051
95,26,16161
95,26,16729
95,26,16923
102,25,14534
102,25,16191
102,25,17857
102,25,18172
106,24,14189
106,24,14217
106,24,14560
106,24,14895
106,24,15465
106,24,16558
112,23,12621
112,23,13418
112,23,14031
112,23,14397
112,23,14680
112,23,15125
112,23,15502
112,23,16353
112,23,16672
121,22,13004
121,22,13458
121,22,13881
121,22,14562
121,22,15044
121,22,15194
121,22,15513
121,22,16333
121,22,16814
121,22,17068
121,22,17576
121,22,17706
121,22,18041
134,21,13081
134,21,14543
134,21,15290
134,21,15838
134,21,16656
134,21,16713
134,21,16931
134,21,17306
134,21,17377
134,21,18198
144,20,12476
144,20,12683
144,20,12931
144,20,13576
144,20,13969
144,20,14060
144,20,15291
144,20,15555
144,20,15805
144,20,15827
144,20,16393
144,20,16401
144,20,16626
144,20,18229
158,19,12437
158,19,12540
158,19,12757
158,19,12989
158,19,13266
158,19,14085
158,19,14367
158,19,15738
158,19,15804
158,19,16592
158,19,16746
158,19,16782
158,19,16928
158,19,16945
158,19,17611
158,19,17735
174,18,12431
174,18,12583
174,18,12584
174,18,13047
174,18,13090
174,18,14032
174,18,14057
174,18,14299
174,18,14415
174,18,14702
174,18,15144
174,18,15187
174,18,16145
174,18,16210
174,18,16458
174,18,16701
174,18,16745
174,18,16764
174,18,17404
174,18,17652
174,18,17719
174,18,18241
196,17,12712
196,17,13148
196,17,13269
196,17,13488
196,17,13709
196,17,14092
196,17,14607
196,17,15601
196,17,15640
196,17,16187
196,17,16670
196,17,16678
196,17,16700
196,17,16843
196,17,17238
196,17,17613
196,17,17644
196,17,17920
196,17,18225
215,16,12708
215,16,12839
215,16,13014
215,16,13094
215,16,13552
215,16,13769
215,16,13985
215,16,14426
215,16,14800
215,16,15046
215,16,15152
215,16,15271
215,16,15482
215,16,15622
215,16,15867
215,16,15939
215,16,15955
215,16,16011
215,16,16607
215,16,16722
215,16,16904
215,16,17340
215,16,17346
215,16,17690
215,16,17954
215,16,18283
241,15,12395
241,15,13001
241,15,13013
241,15,13230
241,15,13268
241,15,13695
241,15,13756
241,15,13999
241,15,14040
241,15,14135
241,15,14227
241,15,14282
241,15,14410
241,15,14462
241,15,14733
241,15,14808
241,15,14952
241,15,15249
241,15,15251
241,15,15602
241,15,15611
241,15,15694
241,15,16326
241,15,16570
241,15,17139
241,15,17730
241,15,17809
241,15,18065
269,14,12553
269,14,12705
269,14,12731
269,14,12955
269,14,13097
269,14,13115
269,14,13742
269,14,13871
269,14,13890
269,14,14088
269,14,14159
269,14,14191
269,14,14243
269,14,14292
269,14,14329
269,14,14401
269,14,14456
269,14,14502
269,14,14709
269,14,14944
269,14,15298
269,14,15301
269,14,15547
269,14,15581
269,14,15719
269,14,16553
269,14,16912
269,14,17071
269,14,17220
269,14,17231
269,14,17419
269,14,17651
269,14,17659
269,14,17696
269,14,17725
269,14,17790
269,14,17940
269,14,17965
269,14,17975
269,14,18075
269,14,18226
310,13,12362
310,13,12472
310,13,12483
310,13,12494
310,13,12500
310,13,12523
310,13,12619
310,13,12626
310,13,12647
310,13,12678
310,13,13093
310,13,13588
310,13,13880
310,13,13983
310,13,14110
310,13,14211
310,13,14239
310,13,14390
310,13,14525
310,13,14573
310,13,14776
310,13,14866
310,13,15021
310,13,15373
310,13,15514
310,13,15518
