CUSTOMER_ID,"LAST ORDER DATE",RECENCY,FREQUENCY,MONETARY,R_SCORE,F_SCORE,M_SCORE
17448,"2011-07-18 12:26:00",144,1,-4287.6298828125,2,1,1
15369,"2011-07-18 15:11:00",144,1,-1592.489990234375,2,1,1
14213,"2010-12-03 09:47:00",371,5,-1192.1999907493591,1,1,1
17603,"2011-10-20 19:19:00",50,15,-1165.3000078201294,3,2,1
12503,"2011-01-06 11:51:00",337,1,-1126,1,1,1
15823,"2011-01-06 12:58:00",337,17,-840.7600026130676,1,2,1
13154,"2011-07-18 15:21:00",144,1,-611.8599853515625,2,1,1
15802,"2011-07-20 11:40:00",142,3,-451.4200134277344,2,1,1
16252,"2010-12-08 16:15:00",366,21,-295.08999958634377,1,2,1
12666,"2010-12-15 14:42:00",359,2,-227.43999862670898,1,1,1
17307,"2010-12-09 15:24:00",365,1,-152.6399917602539,1,1,1
17548,"2011-05-06 10:00:00",217,17,-141.4799988269806,1,2,1
15728,"2011-10-21 14:03:00",49,4,-134.80000066757202,3,1,1
17065,"2011-07-19 14:45:00",143,1,-112.3499984741211,2,1,1
13958,"2010-12-02 17:03:00",372,5,-102.44999933242798,1,1,1
13829,"2010-12-15 16:36:00",359,1,-102,1,1,1
16546,"2011-02-22 11:20:00",290,31,-95.93000221252441,1,3,1
15638,"2011-02-11 15:12:00",301,2,-94,1,1,1
13672,"2011-02-11 13:55:00",301,16,-71.45999908447266,1,2,1
18256,"2010-12-20 08:27:00",354,4,-50.09999942779541,1,1,1
14437,"2011-07-19 14:56:00",143,6,-43.40000009536743,2,1,1
18141,"2010-12-14 11:09:00",360,1,-35.40000057220459,1,1,1
13693,"2011-01-18 15:23:00",325,4,-31.999999284744263,1,1,1
16262,"2010-12-14 11:55:00",360,3,-31.649999618530273,1,1,1
16579,"2010-12-09 15:00:00",365,1,-30.59999942779541,1,1,1
15590,"2011-02-23 16:36:00",289,1,-30.190000534057617,1,1,1
16061,"2011-03-15 14:41:00",269,1,-29.950000762939453,1,1,1
17820,"2011-06-01 15:14:00",191,5,-24.050000190734863,1,1,1
14627,"2011-02-01 10:49:00",311,5,-21.84999966621399,1,1,1
14119,"2010-12-20 13:58:00",354,1,-19.899999618530273,1,1,1
14777,"2011-12-05 13:20:00",4,3,-17.449999928474426,5,1,1
12870,"2010-12-08 14:27:00",366,2,-14.899999618530273,1,1,1
17547,"2010-12-02 14:29:00",372,2,-11.800000190734863,1,1,1
16454,"2011-10-26 11:40:00",44,3,-8.150000095367432,3,1,1
16138,"2010-12-06 15:10:00",368,1,-7.949999809265137,1,1,1
12605,"2010-12-09 15:41:00",365,3,-7.499999761581421,1,1,1
12505,"2011-02-11 13:39:00",301,1,-4.5,1,1,1
12943,"2011-02-11 15:13:00",301,1,-3.75,1,1,1
16428,"2011-09-19 16:31:00",81,1,-2.950000047683716,2,1,1
14679,"2010-12-03 10:07:00",371,1,-2.549999952316284,1,1,1
16995,"2010-12-02 17:09:00",372,1,-1.25,1,1,1
18072,"2011-07-07 17:22:00",155,36,-0.00000017881393432617188,2,3,1
13256,"2011-11-25 15:57:00",14,1,0,4,1,1
12346,"2011-01-18 10:17:00",325,2,0,1,1,1
18268,"2011-07-28 19:13:00",134,2,0,2,1,1
14792,"2011-10-07 09:19:00",63,4,0,3,1,1
16878,"2011-11-15 08:52:00",24,6,0,4,1,1
13762,"2011-05-19 15:23:00",204,14,0,1,2,1
13364,"2011-10-04 09:48:00",66,20,0,3,2,1
18274,"2011-11-22 10:18:00",17,22,0,4,2,1
12558,"2011-12-08 10:14:00",1,22,0,5,2,1
12454,"2011-10-17 15:07:00",53,30,0,3,3,1
14557,"2011-10-06 20:36:00",64,32,0,3,3,1
12607,"2011-10-12 16:17:00",58,202,0,3,5,1
16742,"2011-10-24 12:02:00",46,4,0.00000095367431640625,3,1,1
16446,"2011-12-09 09:27:00",0,4,2.899999976158142,5,1,1
16738,"2011-02-15 09:46:00",297,1,3.75,1,1,1
17956,"2011-04-04 13:47:00",249,1,12.75,1,1,1
17763,"2011-03-21 14:25:00",263,1,15,1,1,1
13307,"2011-08-11 17:14:00",120,1,15,2,1,1
17900,"2011-06-28 12:09:00",164,11,15,2,1,1
16093,"2011-08-25 11:09:00",106,1,17.000000476837158,2,1,1
17986,"2011-10-14 14:22:00",56,1,20.799999237060547,3,1,1
16953,"2011-11-09 15:54:00",30,1,20.799999237060547,4,1,1
17102,"2011-03-23 10:08:00",261,1,25.5,1,1,1
15657,"2011-11-17 12:19:00",22,1,30,4,1,1
13120,"2011-04-15 10:19:00",238,1,30.59999942779541,1,1,1
15940,"2011-02-01 16:21:00",311,2,31.799999237060547,1,1,1
17408,"2011-06-29 12:53:00",163,2,32.64999961853027,2,1,1
16765,"2011-02-18 15:41:00",294,1,34,1,1,1
15744,"2011-09-23 09:52:00",77,3,34.79999899864197,2,1,1
14576,"2010-12-02 17:51:00",372,1,35.40000057220459,1,1,1
17831,"2011-11-06 15:09:00",33,2,35.40000057220459,3,1,1
16856,"2011-11-25 08:59:00",14,2,35.40000057220459,4,1,1
17816,"2011-11-03 11:34:00",36,17,36.559999853372574,3,2,1
16162,"2011-04-01 15:03:00",252,2,37.39999961853027,1,1,1
12855,"2010-12-02 09:37:00",372,3,38.100000858306885,1,1,1
18019,"2011-10-19 12:10:00",51,5,38.44999885559082,3,1,1
16659,"2011-06-03 15:03:00",189,2,39.11999988555908,1,1,1
12977,"2011-07-06 16:40:00",156,9,39.239999651908875,2,1,1
14589,"2010-12-03 11:42:00",371,3,39.749999046325684,1,1,1
15178,"2011-03-24 15:12:00",260,3,40.50000071525574,1,1,1
13832,"2011-11-22 12:31:00",17,4,40.950000286102295,4,1,1
15992,"2011-12-06 11:00:00",3,3,41.99000072479248,5,1,1
14300,"2011-11-21 08:57:00",18,3,43.19999980926514,4,1,1
15423,"2011-11-01 14:01:00",38,2,43.500001430511475,3,1,1
14080,"2011-11-07 11:09:00",32,4,45.600000858306885,3,1,1
16257,"2011-06-16 10:11:00",176,2,46.95000076293945,2,1,1
15603,"2011-09-22 10:04:00",78,2,48.4800009727478,2,1,1
14821,"2010-12-08 08:43:00",366,2,48.79999923706055,1,1,1
18184,"2011-11-24 15:28:00",15,1,49.79999899864197,4,1,1
13011,"2010-12-02 17:22:00",372,3,50.549999713897705,1,1,1
14351,"2011-06-28 11:56:00",164,1,51,2,1,1
17844,"2011-08-25 11:27:00",106,5,51.55999946594238,2,1,1
15313,"2011-08-21 16:02:00",110,1,51.99999809265137,2,1,1
14682,"2011-06-05 12:12:00",187,2,51.99999809265137,1,1,1
14865,"2011-12-02 16:25:00",7,4,52.19999957084656,5,1,1
15504,"2011-09-19 13:45:00",81,13,52.829999566078186,2,1,1
16349,"2011-02-22 12:40:00",290,9,53.499999195337296,1,1,1
14760,"2011-02-18 14:36:00",294,7,53.79999923706055,1,1,1
13366,"2011-10-20 13:37:00",50,1,56.15999794006348,3,1,1
15899,"2010-12-06 10:36:00",368,4,56.25000023841858,1,1,1
17775,"2011-03-30 10:50:00",254,3,56.40000057220459,1,1,1
13080,"2011-06-13 14:59:00",179,6,58.080000042915344,1,1,1
14957,"2011-03-31 17:59:00",253,12,58.48999935388565,1,1,1
13106,"2011-08-03 11:50:00",128,2,59.5,2,1,1
13682,"2011-06-05 14:06:00",187,3,59.5,1,1,1
13391,"2011-05-20 10:50:00",203,1,59.79999923706055,1,1,1
17174,"2011-05-06 11:47:00",217,4,59.90000009536743,1,1,1
13194,"2011-07-27 09:01:00",135,3,60.700000286102295,2,1,1
12665,"2011-01-19 08:34:00",324,4,61.75,1,1,1
15729,"2011-05-25 16:43:00",198,6,62,1,1,1
15516,"2011-10-26 10:51:00",44,15,62.4300000667572,3,2,1
13218,"2011-08-04 16:59:00",127,5,62.63999933004379,2,1,1
14840,"2011-03-17 12:00:00",267,4,62.84999942779541,1,1,1
17263,"2011-05-15 14:32:00",208,23,63.43999981880188,1,2,1
13302,"2011-07-07 17:56:00",155,1,63.75,2,1,1
13130,"2011-09-06 15:30:00",94,2,64,2,1,1
13684,"2011-02-27 10:25:00",285,31,64.22999966144562,1,3,1
